55,703,6
62,704,6
68,706,6
73,710,6
73,718,6
69,727,6
68,737,6
64,747,6
56,753,6
46,751,6
39,744,6
31,736,6
24,735,6
25,740,6
84,755,6
81,761,6
71,765,6
63,764,6
50,763,6
39,761,6
28,758,6
83,709,6
97,710,6
108,715,6
103,718,6
94,712,6
92,746,6
78,746,6
74,755,6
92,760,6
100,764,6
45,702,6
48,698,6
53,696,6
58,682,6
67,682,6
75,682,6
80,685,6
82,692,6
104,705,6
126,707,6
128,710,6
118,734,6
111,757,6
18,763,6
14,759,6
45,746,6
34,735,6
24,726,6
21,729,6
1089,687,2
1080,685,2
1076,685,2
1072,687,2
1068,694,2
1068,707,2
1068,720,2
934,673,2
931,678,2
928,685,2
924,694,2
1023,762,2
1008,765,2
998,754,2
966,735,2
968,734,2
1004,706,2
1000,704,2
872,693,2
878,686,2
79,39,2
83,56,2
98,65,2
111,53,2
219,49,2
212,36,2
206,30,2
195,27,2
184,23,2
175,19,2
152,18,2
129,15,2
116,17,2
297,132,2
286,145,2
397,180,2
390,179,2
365,190,2
358,152,2
354,130,2
350,132,2
350,118,2
351,113,2
330,75,2
320,74,2
45,130,2
37,115,2
34,103,2
41,66,2
10,40,2
733,15,8
752,19,8
758,41,8
736,74,8
738,101,8
764,121,8
785,121,8
828,145,8
864,171,8
884,192,8
885,209,8
853,229,8
830,212,8
797,186,8
720,187,8
599,196,8
685,31,8
643,104,8
607,130,8
699,452,8
677,562,8
630,604,8
560,618,8
485,653,8
770,534,8
746,564,8
723,599,8
705,616,8
464,336,8
385,374,8
379,487,8
362,547,8
316,601,8
312,656,8
329,700,8
357,721,8
514,333,8
497,251,8
471,201,8
457,246,8
401,317,8
372,345,8
321,416,8
323,446,8
652,313,8
695,389,8
621,437,8
594,492,8
580,544,8
512,558,8
169,756,4
163,755,4
159,746,4
155,747,4
154,751,4
167,752,4
169,755,4
152,763,4
170,673,4
177,674,4
187,679,4
170,679,4
160,679,4
93,669,4
85,670,4
98,672,4
100,669,4
499,38,4
488,39,4
514,74,4
514,86,4
508,82,4
510,36,4
502,33,4
496,30,4
803,288,4
805,332,4
800,333,4
889,237,4
893,232,4
887,232,4
883,236,4
883,243,4
840,254,4
839,256,4
921,212,4
917,210,4
801,361,4
802,365,4
1119,324,4
1127,322,4
1128,328,4
1052,263,4
1049,255,4
1043,253,4
1038,260,4
1128,235,4
1121,235,4
1125,230,4
1107,233,4
